182256
U0_M0_F00,U0_M0_F01,
slack CD Fpgas mcp clockbus hop async xdrs
0 124764 U0_M0_F01,U0_M0_F00,U0_M0_F01 1 1 0 1 1,1
24 124925 U0_M0_F01,U0_M0_F00,U0_M0_F01 1 1 0 1 1,1
25 124764 U0_M0_F01,U0_M0_F00 1 1 0 0 1
35 124925 U0_M0_F01,U0_M0_F00 1 0 0 0 1
