184209
U0_M0_F00,U0_M0_F01,
slack CD Fpgas mcp clockbus hop async xdrs
0 132622 U0_M0_F01,U0_M0_F00,U0_M0_F01 1 1 0 1 1,1
25 132622 U0_M0_F01,U0_M0_F00 1 1 0 0 1
26 132783 U0_M0_F01,U0_M0_F00,U0_M0_F01 1 1 0 1 1,1
37 132783 U0_M0_F01,U0_M0_F00 1 0 0 0 1
