Nb_FPGA,Module,LUT,LUT%,LUT6,LUT6%,RAM,RAM%,URAM,URAM%,REG,REG%,RAMLUT,RAMLUT%,FWC_IP_BITS,FWC_IP_BITS%,QIWC_IP_BITS,QIWC_IP_BITS%,ZCEI_MESSAGE_INPUT,ZCEI_MESSAGE_INPUT%,ZCEI_MESSAGE_OUTPUT,ZCEI_MESSAGE_OUTPUT%,ZRM_SLOTS,ZRM_SLOTS%,ZRM_PORTS,ZRM_PORTS%,IOs,Path
1,alb_mss_mem_model,78, 1%,61, 1%,1, 1%,0, 0%,41, 1%,0, 0%,0, 0%,174, 1%,0, 0%,0, 0%,32768,25%,1,13%,331,zebu_top.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst
1,alb_mss_fpga_sram_0000,56, 1%,56, 1%,1, 1%,0, 0%,39, 1%,0, 0%,0, 0%,157, 1%,0, 0%,0, 0%,32768,25%,1,13%,330,zebu_top.core_chip_dut.icore_sys.ialb_mss_mem.u_rgon0_mem_inst.u_alb_mss_mem_ram
1,mss_bus_switch_ibp_dw32_mst,8840, 1%,4031, 1%,2, 1%,0, 0%,6370, 1%,0, 0%,0, 0%,5953, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1533,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_2
1,mss_bus_switch_ibp_dw32_mst,8840, 1%,4031, 1%,2, 1%,0, 0%,6370, 1%,0, 0%,0, 0%,5953, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1533,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_1
1,mss_bus_switch_ibp_dw32_mst,8840, 1%,4031, 1%,2, 1%,0, 0%,6370, 1%,0, 0%,0, 0%,5953, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1533,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_0
1,mss_bus_switch_ibp_dw32_mst,8796, 1%,4018, 1%,2, 1%,0, 0%,6354, 1%,0, 0%,0, 0%,5938, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1473,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_4
1,mss_bus_switch_ibp_dw32_mst,8793, 1%,4018, 1%,2, 1%,0, 0%,6354, 1%,0, 0%,0, 0%,5938, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1469,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_3
1,rl_exu,8781, 1%,3281, 1%,1, 1%,0, 0%,2914, 1%,0, 0%,3, 1%,2630, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1857,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core.u_rl_exu
1,rl_exu,8711, 1%,3249, 1%,1, 1%,0, 0%,2879, 1%,0, 0%,0, 0%,2630, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1783,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core.u_rl_exu
1,mss_bus_switch_ibpw2ibpn_0000,5025, 1%,2998, 1%,1, 1%,0, 0%,3995, 1%,0, 0%,0, 0%,3733, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_2.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001,5025, 1%,2998, 1%,1, 1%,0, 0%,3995, 1%,0, 0%,0, 0%,3733, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_2.u_ibp_dw32_in_3_ibp512toibp32
1,mss_bus_switch_ibpw2ibpn_0000,5025, 1%,2998, 1%,1, 1%,0, 0%,3995, 1%,0, 0%,0, 0%,3733, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_1.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001,5025, 1%,2998, 1%,1, 1%,0, 0%,3995, 1%,0, 0%,0, 0%,3733, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_1.u_ibp_dw32_in_3_ibp512toibp32
1,mss_bus_switch_ibpw2ibpn_0000,5025, 1%,2998, 1%,1, 1%,0, 0%,3995, 1%,0, 0%,0, 0%,3733, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_0.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001,5025, 1%,2998, 1%,1, 1%,0, 0%,3995, 1%,0, 0%,0, 0%,3733, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1166,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_0.u_ibp_dw32_in_3_ibp512toibp32
1,mss_bus_switch_ibpw2ibpn_0000,5015, 1%,2983, 1%,1, 1%,0, 0%,3979, 1%,0, 0%,0, 0%,3718, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1165,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_4.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001,5015, 1%,2983, 1%,1, 1%,0, 0%,3979, 1%,0, 0%,0, 0%,3718, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1165,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_4.u_ibp_dw32_in_3_ibp512toibp32
1,mss_bus_switch_ibpw2ibpn_0000,5015, 1%,2983, 1%,1, 1%,0, 0%,3979, 1%,0, 0%,0, 0%,3718, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1165,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_3.u_ibp_dw32_in_3_ibp512toibp32.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001,5015, 1%,2983, 1%,1, 1%,0, 0%,3979, 1%,0, 0%,0, 0%,3718, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1165,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_3.u_ibp_dw32_in_3_ibp512toibp32
1,mss_bus_switch_dw512_slv,4528, 1%,1489, 1%,1, 1%,0, 0%,1715, 1%,0, 0%,0, 0%,1602, 1%,0, 0%,0, 0%,0, 0%,0, 0%,3687,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_slv_3
1,mss_bus_switch_ibpw2ibpn_0001,2313, 1%,1240, 1%,1, 1%,0, 0%,2210, 1%,0, 0%,0, 0%,2065, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1272,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5.u_ibp_dw128_in_3_ibp512toibp128.x_w_gt_y_w_u_ibpw2ibpn
1,mss_bus_switch_ibpx2ibpy_0001_0000,2313, 1%,1240, 1%,1, 1%,0, 0%,2210, 1%,0, 0%,0, 0%,2065, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1272,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_mst_5.u_ibp_dw128_in_3_ibp512toibp128
1,mss_bus_switch_ibp_split_0000_0000,3494, 1%,1267, 1%,1, 1%,0, 0%,1445, 1%,0, 0%,0, 0%,1350, 1%,0, 0%,0, 0%,0, 0%,0, 0%,3688,zebu_top.core_chip_dut.icore_sys.ialb_mss_fab.u_switch_inst.u_mss_bs_slv_3.u_mid_ibp_splitter
1,rl_dmp,4335, 1%,1413, 1%,1, 1%,0, 0%,816, 1%,0, 0%,0, 0%,796, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1377,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core.u_rl_dmp
1,rl_dmp,4323, 1%,1401, 1%,1, 1%,0, 0%,814, 1%,0, 0%,0, 0%,760, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1342,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core.u_rl_dmp
1,rl_ifu,3333, 1%,1282, 1%,1, 1%,0, 0%,900, 1%,0, 0%,0, 0%,941, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1231,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_main_rl_cpu_top.u_rl_core.u_rl_ifu
1,rl_ifu,3297, 1%,1246, 1%,1, 1%,0, 0%,893, 1%,0, 0%,0, 0%,834, 1%,0, 0%,0, 0%,0, 0%,0, 0%,1194,zebu_top.core_chip_dut.icore_sys.iarchipelago.icpu_top_safety_controller.u_shadow_rl_cpu_top.u_rl_core.u_rl_ifu
